b;t
1330000;3057.19435246
1340000;3384.42550046
1350000;2949.45603829
1360000;2919.45668991
1370000;3112.0449406
1380000;2853.23286463
1390000;3282.24211682
1400000;3232.04821631
1410000;2912.97114658
1420000;3208.57194882
1430000;3068.44685915
1440000;1199.12351063
1450000;2848.79902803
1460000;3448.62699095
1470000;2481.48084066
1480000;2542.71827961
1490000;2811.61307389
1500000;2789.15230944
1510000;2623.47601719
1520000;2531.5614995
1530000;2546.85754483
1540000;2945.97219464
1550000;3328.12040506
1560000;2844.13670135
1570000;2774.51754414
1580000;3299.32337985
1590000;2859.06309477
1600000;2668.04612804
1610000;2840.75487827
1620000;3054.08769503
1630000;3024.09179255
1640000;3208.14251035
1650000;2720.62962162
1660000;2506.51293726
1670000;2646.04240116
1680000;2787.73299178
1690000;1242.51166941
1700000;2494.75330855
1710000;2672.69473385
1720000;2962.86375276
1730000;3018.08889894
1740000;3225.31828969
1750000;3062.21430713
1760000;2751.5165783
1770000;3374.36442424
1780000;3083.47387506
1790000;2697.64687589
1800000;2747.76691423
1810000;2769.93167564
1820000;3116.60349022
1830000;3235.73855509
1840000;2979.05426507
1850000;3053.17852593
1860000;2617.81148106
1870000;2670.58746739
1880000;2923.76080368
1890000;3112.22832016
1900000;2944.59474389
1910000;2718.36976279
1920000;2744.62188216
1930000;2808.75474422
1940000;3045.30124463
1950000;3201.13221135
1960000;2792.49240359
1970000;2452.38621145
1980000;2826.80858027
1990000;2733.9503426
2000000;2620.7489822
2010000;2598.68834616
2020000;2625.85772939
2030000;2856.26513864
2040000;2689.81329875
2050000;3129.00973912
2060000;3255.87046255
2070000;2710.54338498
2080000;2790.41724629
2090000;3164.90530073
2100000;3257.26007489
2110000;3314.36703977
2120000;2855.46707771
2130000;3121.20619953
2140000;2782.4421467
2150000;3656.97341495
2160000;2970.75759807
2170000;3216.02055762
2180000;2835.24692138
2190000;2940.01504651
2200000;3081.79390903
2210000;2895.64492205
2220000;3156.19087939
2230000;3240.21925952
2240000;3149.89167517
2250000;2828.81258957
2260000;3078.91944985
2270000;3104.39096584
2280000;3558.4959747
2290000;3042.00990835
2300000;2939.27955363
2310000;3176.44176832
2320000;3303.36536032
2330000;3288.85448316
2340000;2667.39267835
2350000;2730.05687379
2360000;2865.15040686
2370000;2768.07420516
2380000;2741.39398442
2390000;3111.50269092
2400000;3319.37952454
2410000;2926.35567449
2420000;3393.62144121
2430000;3217.19008296
2440000;3056.12460288
2450000;3156.48783897
2460000;3105.37236071
2470000;3300.72072483
2480000;2957.20435896
2490000;2839.03040954
2500000;3299.09466315
2510000;3097.55052253
2520000;3228.51268635
2530000;3261.18465152
2540000;3011.20018655
2550000;3049.77773184
2560000;3292.36104789
2570000;3089.4997802
2580000;2925.81356135
2590000;3259.08623909
2600000;3237.25236138
2610000;2857.51329679
2620000;2667.33249917
2630000;2688.8735033
2640000;2952.47016507
2650000;3286.85339149
2660000;3029.10291169
2670000;3201.19820056
2680000;3219.80299187
2690000;3373.62818464
2700000;3016.95734659
2710000;2733.82570862
2720000;2751.98043209
2730000;3090.07064919
2740000;3300.98893006
2750000;3232.06641039
2760000;3007.99767182
2770000;2990.58146495
2780000;3016.56763445
2790000;3226.88814022
2800000;1731.68204958
2810000;3335.32442809
2820000;3364.3611431
2830000;3360.99537434
2840000;3632.5532956
2850000;2937.72002765
2860000;3248.3113916
2870000;3226.09046138
2880000;3384.91428531
2890000;3341.22277091
2900000;3179.81333747
2910000;3178.70294681
2920000;3137.33401985
2930000;3031.70753606
2940000;3096.01989989
2950000;3028.30885298
2960000;3323.36042161
2970000;3215.48307394
2980000;3309.71252443
2990000;3408.76934927
