bytes;throughput
71700;5049.29666905
71800;5403.44044842
71900;6739.23806523
72000;6265.34712378
72100;5650.12252345
72200;6442.05035911
72300;6366.36981325
72400;6183.24940235
72500;6480.57826868
72600;6548.74893783
72700;6565.78613887
72800;6287.67653852
72900;5555.06170408
73000;6250.92054636
73100;6070.07572954
73200;6385.71148969
73300;6242.56935777
73400;6529.88839143
73500;6457.10799934
73600;6079.39277909
73700;6340.1575178
73800;5883.49203169
73900;6593.97758656
74000;6002.12034176
74100;6326.83713973
74200;6758.33409515
74300;6462.3720975
74400;6153.82920777
74500;5044.32324928
74600;6369.83469189
74700;6297.36135694
74800;5404.05278114
74900;6265.32946113
75000;6150.10806631
75100;6216.06295744
75200;5649.81759771
75300;6201.33284508
75400;6235.15406794
75500;6151.39390394
75600;6399.1229901
75700;5848.27846058
75800;6292.92415872
75900;5886.80096629
76000;6161.17203848
76100;6353.90703685
76200;6496.4944114
76300;5561.27470723
76400;6306.40404516
76500;5988.11120204
76600;6133.54450369
76700;6124.66712057
76800;6441.05806519
76900;6132.08313927
77000;5114.62365066
77100;5562.74218499
77200;6385.58627258
77300;5885.59435048
77400;5755.33688818
77500;6298.01762013
77600;6122.79580776
77700;6062.21461251
77800;6422.99425789
77900;6246.69594771
78000;6200.7388919
78100;5922.73895753
78200;6153.37922586
78300;6107.87813545
78400;6199.61651974
78500;6343.44192068
78600;6151.37142889
78700;6224.36415612
78800;6345.81138768
78900;5733.53520015
79000;6077.15874731
79100;6284.50758702
79200;5938.49645803
79300;6114.2497377
79400;6149.75530744
79500;5549.38018601
79600;5765.19521095
79700;6090.07403379
79800;6224.31862152
79900;5866.05675877
80000;5724.05502129
80100;6253.36929223
80200;5919.62060444
80300;6135.9920823
80400;6255.79084355
80500;6052.45724498
80600;6079.30266776
80700;5591.05895276
80800;6157.75185937
80900;5731.17376916
81000;5872.42198848
81100;6143.47476747
81200;6106.24757038
81300;5637.01261582
81400;6350.93949225
81500;6043.91815485
81600;5909.39756076
81700;5903.43774164
81800;5553.05703645
81900;5528.44291388
82000;5741.76234276
82100;6226.8894703
82200;5931.88997018
82300;5618.32894936
82400;6459.70877723
82500;6012.58676008
82600;5634.18023324
82700;6228.68244208
82800;6110.17434967
82900;5765.85390347
