bytes;throughput
12900;305.714824061
13000;316.996121044
13100;331.686389517
13200;324.412617153
13300;338.864246915
13400;348.640181877
13500;299.043788342
13600;347.234968185
13700;365.789097585
13800;370.967673699
13900;316.975819485
14000;375.730524581
14100;361.990055473
14200;365.846032956
14300;363.35164695
14400;363.194943784
14500;295.482667818
14600;281.021943812
14700;297.063949342
14800;279.459341515
14900;279.276879499
15000;294.743317018
15100;284.829382664
15200;284.217864597
15300;244.107428839
15400;308.323057832
15500;289.36231001
15600;291.769326329
15700;291.886704729
15800;291.88138625
15900;323.26511494
16000;398.304145841
16100;385.264031124
16200;404.06261426
16300;415.501994335
16400;411.665593078
16500;377.22279822
16600;361.380957675
16700;393.882685509
16800;385.498592987
16900;380.881680627
17000;427.665460062
17100;411.663634294
17200;346.852351981
17300;435.408605973
17400;342.284070389
17500;343.001866583
17600;369.05975853
17700;344.094763835
17800;355.824635029
17900;362.97457202
18000;354.207088068
18100;352.151757995
18200;358.327007057
18300;357.944767615
18400;340.708056117
18500;362.65075878
18600;365.236688204
18700;366.910540701
18800;357.416873323
18900;352.430437005
19000;337.324041644
19100;394.855843684
19200;375.372845173
19300;382.689166596
19400;424.254905412
19500;363.1537244
19600;415.687160975
19700;374.424015618
19800;376.720007031
19900;371.418462807
20000;383.15605809
20100;378.45640964
20200;430.698961359
20300;403.232161821
20400;430.48513698
20500;436.809449929
20600;435.161569971
20700;437.385442171
20800;410.789985639
20900;429.106809892
21000;525.799360185
21100;424.353834641
21200;523.836978215
21300;427.453314916
21400;425.965979603
21500;491.303185913
21600;548.752127224
21700;453.65126714
21800;488.290129614
21900;489.809382406
22000;491.835338542
22100;467.055035057
22200;491.879906585
22300;506.378994306
22400;463.744842729
22500;512.034516216
22600;507.355297561
22700;417.714160646
22800;484.770807338
22900;515.979761199
23000;524.884503425
23100;521.837843548
23200;481.908469975
23300;449.7564728
23400;490.897466392
23500;458.199780154
23600;497.383172947
23700;577.378270782
23800;476.465056511
23900;577.907447647
24000;468.267900733
24100;479.504277674
24200;494.494830157
24300;512.159949001
24400;512.905800479
24500;528.357090917
24600;506.540859665
24700;508.885864944
24800;556.853808512
24900;553.503730214
25000;552.110813535
25100;550.901778926
25200;547.065167471
25300;514.652910533
25400;535.607132211
25500;599.932188799
25600;587.849717094
25700;533.754235865
25800;667.578136382
25900;446.385204699
26000;570.875525461
26100;541.579943383
26200;540.23131574
26300;550.984684272
26400;545.932548593
26500;542.143476209
26600;545.244639792
26700;520.622906747
26800;552.561939162
26900;560.152794565
27000;522.298008318
27100;554.199583682
27200;513.79571189
27300;523.466204198
27400;531.052192508
27500;601.344448462
27600;567.020128246
27700;635.598842795
27800;474.699184186
27900;632.39292492
28000;596.007471503
28100;580.972488085
28200;589.725894108
28300;615.321607826
28400;500.47970727
28500;640.406731045
28600;601.214879163
28700;610.89814427
28800;600.383833316
28900;817.158870037
29000;517.739722279
29100;555.232318856
29200;568.314244398
29300;599.418154743
29400;611.194490392
29500;570.453341657
29600;595.48705232
29700;606.342988611
29800;588.281555727
29900;618.621680133
30000;625.587104155
30100;616.357976524
30200;603.354181624
30300;604.133249772
30400;598.013460619
30500;647.852876189
30600;624.127245984
30700;604.319113978
30800;556.382284934
30900;650.577163193
31000;654.235429806
31100;669.130175583
31200;638.058401608
31300;659.442692435
31400;644.780724015
31500;663.315737724
31600;678.258172303
31700;668.178585253
31800;690.614550231
31900;639.900931745
32000;600.309017675
32100;593.886388215
32200;619.196972341
32300;602.086172116
32400;611.515601665
32500;615.531939285
32600;623.830957314
32700;682.061953058
32800;618.220305448
32900;626.065208131
33000;630.642893139
33100;639.487247455
33200;689.13287869
33300;705.369558162
33400;703.586389517
33500;750.668184244
33600;702.862392094
33700;761.913345577
33800;739.019895397
33900;634.436760474
34000;679.990657696
34100;749.77659418
34200;695.937558556
34300;776.812268903
34400;732.977743628
34500;656.48243854
34600;753.579161089
34700;838.421595143
34800;715.978561864
34900;710.135404706
35000;714.443087836
35100;592.78838724
35200;728.241980969
35300;701.514184594
35400;685.300573654
35500;685.561243391
35600;693.668283046
35700;682.036044491
35800;694.831397622
35900;724.072754577
36000;703.429372031
36100;739.687075998
36200;739.178540943
36300;652.706693349
36400;687.819238295
36500;704.428366094
36600;692.839796438
36700;689.971756964
36800;698.203328309
36900;582.306032995
37000;733.468533033
37100;702.537930347
37200;711.708442774
37300;700.032036981
37400;758.838766564
37500;595.707072739
37600;734.293713494
37700;745.534337074
37800;724.013779099
37900;724.026723072
38000;724.448978021
38100;614.59020158
38200;720.165141961
38300;730.875288129
38400;737.012234782
38500;730.671090734
38600;629.213274047
38700;682.476707337
38800;780.556732625
38900;761.025920276
39000;776.079454536
39100;774.662479641
39200;675.51118762
39300;797.452978023
39400;838.042299613
39500;811.965695401
39600;772.046981747
39700;779.908325314
39800;677.866487346
39900;728.395453522
40000;843.805075842
40100;784.34128153
40200;803.9278597
40300;795.190861469
40400;676.513271716
