sid,arrsize,bsize,nthreads,total,draw,scatter,sort,gather
0,33554432,818,1,9051146.716797,260742.628906,1763393.725586,6661799.696289,365210.009766
1,33554432,818,1,9021416.978516,225711.572266,1766092.259766,6664348.897461,365263.517578
2,33554432,818,1,9024949.119141,225285.152344,1767614.144531,6666694.818359,365354.380859
0,33554432,798,1,9032372.879883,263546.034180,1757466.020508,6645454.478516,365905.478516
1,33554432,798,1,9000842.463867,228300.096680,1759287.817383,6647366.000977,365887.716797
2,33554432,798,1,8996556.093750,228249.539062,1756478.621094,6645809.718750,366017.589844
0,33554432,780,1,8986561.120117,260499.347656,1737396.131836,6622891.832031,365773.172852
1,33554432,780,1,8960988.013672,225632.334961,1743465.155273,6626156.382812,365733.496094
2,33554432,780,1,8955314.572266,225502.595703,1738943.674805,6625155.353516,365712.279297
0,33554432,762,1,9024957.877930,260870.516602,1789602.151367,6608652.875977,365831.541016
1,33554432,762,1,8992047.129883,225796.083984,1790421.366211,6610074.665039,365754.137695
2,33554432,762,1,8995762.283203,225783.526367,1793286.927734,6611040.673828,365650.184570
0,33554432,745,1,8993692.920898,260877.177734,1782387.194336,6584350.313477,366077.432617
1,33554432,745,1,8967484.779297,225331.379883,1787401.039062,6588849.663086,365901.880859
2,33554432,745,1,8965328.009766,225538.252930,1783398.987305,6590446.168945,365943.771484
0,33554432,729,1,9005371.381836,260900.088867,1804639.144531,6572264.848633,367566.110352
1,33554432,729,1,8967654.582031,226061.992188,1808236.420898,6567164.284180,366190.860352
2,33554432,729,1,8961857.458008,225803.391602,1804363.583984,6565528.832031,366160.563477
0,33554432,713,1,8979418.983398,260860.348633,1806629.483398,6545564.762695,366363.611328
1,33554432,713,1,8953035.892578,225391.327148,1814513.991211,6546721.282227,366408.475586
2,33554432,713,1,8949841.662109,225549.363281,1806636.516602,6551077.606445,366577.407227
0,33554432,699,1,8976172.538086,260866.199219,1821561.641602,6526961.558594,366782.361328
1,33554432,699,1,8946563.579102,225723.833984,1824553.690430,6529501.298828,366783.947266
2,33554432,699,1,8946486.220703,225707.486328,1823271.161133,6530624.356445,366882.358398
0,33554432,684,1,9006382.603516,260837.283203,1868987.410156,6509560.825195,366996.209961
1,33554432,684,1,8981723.866211,225705.185547,1874159.272461,6514885.205078,366973.393555
2,33554432,684,1,8977522.415039,225617.997070,1872072.988281,6512650.459961,367180.188477
0,33554432,671,1,8967711.081055,261011.496094,1846655.522461,6492518.639648,367524.382812
1,33554432,671,1,8944267.647461,225853.777344,1856776.437500,6494106.690430,367529.996094
2,33554432,671,1,8939464.335938,225867.544922,1850718.794922,6495341.861328,367535.431641
0,33554432,657,1,8999681.835938,260830.739258,1896118.684570,6475751.347656,366980.273438
1,33554432,657,1,8963838.658203,225569.017578,1896052.401367,6475146.459961,367069.678711
2,33554432,657,1,8971113.241211,225564.702148,1899705.518555,6478513.942383,367328.212891
0,33554432,645,1,8958450.344727,260866.589844,1873355.409180,6456644.391602,367583.190430
1,33554432,645,1,8934922.628906,225792.421875,1880485.907227,6461152.964844,367490.288086
2,33554432,645,1,8923810.482422,225942.168945,1871258.429688,6459081.961914,367527.121094
0,33554432,633,1,8956543.750000,260779.922852,1885588.524414,6442928.260742,367246.204102
1,33554432,633,1,8922023.557617,225572.085938,1885577.230469,6443725.783203,367147.777344
2,33554432,633,1,8921839.982422,225486.568359,1888497.929688,6440812.921875,367041.152344
0,33554432,621,1,8960898.302734,259311.840820,1912408.891602,6421686.790039,367489.924805
1,33554432,621,1,8928118.375977,225768.250977,1913612.059570,6421384.180664,367352.846680
2,33554432,621,1,8933446.338867,225626.307617,1917206.636719,6423095.281250,367517.285156
0,33554432,610,1,8945443.179688,259292.315430,1909026.087891,6409780.999023,367342.803711
1,33554432,610,1,8921521.113281,225175.088867,1915162.075195,6413603.659180,367579.471680
2,33554432,610,1,8918320.441406,225045.585938,1913855.025391,6411884.665039,367534.217773
0,33554432,599,1,8964740.666992,259403.592773,1947904.285156,6389712.466797,367719.489258
1,33554432,599,1,8939326.299805,225672.657227,1950707.218750,6395126.067383,367819.555664
2,33554432,599,1,8939115.215820,225791.066406,1951239.976562,6394388.849609,367694.526367
0,33554432,588,1,8953026.811523,259513.477539,1937412.813477,6385073.929688,371025.687500
1,33554432,588,1,8921124.078125,225870.690430,1947372.630859,6379603.338867,368276.395508
2,33554432,588,1,8918338.290039,225607.669922,1940193.979492,6383648.089844,368887.701172
0,33554432,578,1,8928162.583008,260933.943359,1931793.143555,6367265.517578,368169.160156
