sid,arrsize,bsize,nthreads,total,draw,scatter,sort,gather
6,33554432,409,9,1561619.671875,25702.488281,822207.872070,673142.618164,40548.649414
7,33554432,409,9,1559926.191406,25764.334961,820883.568359,672617.576172,40644.482422
8,33554432,409,9,1560738.745117,25760.324219,821204.956055,673198.504883,40557.766602
9,33554432,409,9,1561507.306641,25774.375000,822198.129883,672877.478516,40638.957031
0,33554432,409,10,1482633.179688,26067.136719,812811.810547,606774.745117,36717.509766
1,33554432,409,10,1433109.067383,23175.692383,766677.132812,606638.158203,36598.240234
2,33554432,409,10,1432742.274414,23300.063477,766890.987305,605910.009766,36620.767578
3,33554432,409,10,1434459.927734,23137.349609,769059.060547,605652.910156,36590.615234
4,33554432,409,10,1434189.994141,23161.861328,768678.961914,605769.860352,36559.110352
5,33554432,409,10,1434526.967773,23218.431641,768504.163086,606209.188477,36576.958984
6,33554432,409,10,1433953.069336,23230.079102,768145.426758,605972.803711,36586.273438
7,33554432,409,10,1436425.089844,23187.523438,770610.584961,606029.328125,36577.901367
8,33554432,409,10,1440079.292969,23251.536133,774342.211914,605916.868164,36548.184570
9,33554432,409,10,1439029.492188,23302.641602,772866.774414,606100.454102,36740.791016
0,33554432,409,11,1375409.100586,24079.205078,766614.997070,551156.188477,33288.317383
1,33554432,409,11,1320679.567383,21188.204102,715368.632812,550902.773438,33196.644531
2,33554432,409,11,1321630.436523,21142.966797,715952.501953,551301.210938,33210.198242
3,33554432,409,11,1320706.589844,21273.678711,714963.890625,551158.148438,33287.257812
4,33554432,409,11,1320873.738281,21187.593750,715720.730469,550689.601562,33252.056641
5,33554432,409,11,1323903.880859,21319.175781,718525.492188,550741.255859,33295.335938
6,33554432,409,11,1326013.970703,21218.257812,720744.984375,550788.028320,33239.980469
7,33554432,409,11,1325454.671875,21192.501953,719785.871094,551157.176758,33298.074219
8,33554432,409,11,1326596.458984,21175.114258,721369.286133,550723.440430,33306.134766
9,33554432,409,11,1326391.789062,21178.652344,720906.964844,551011.291992,33270.233398
0,33554432,409,12,1277177.855469,22106.666016,719250.959961,505038.057617,30492.268555
1,33554432,409,12,1218838.245117,19408.575195,663821.874023,505086.535156,30498.765625
2,33554432,409,12,1223338.348633,19462.885742,668199.352539,505132.732422,30519.919922
3,33554432,409,12,1219622.038086,19411.458008,664522.673828,505176.576172,30487.883789
4,33554432,409,12,1220727.410156,19402.182617,665640.575195,505197.712891,30460.507812
5,33554432,409,12,1218394.149414,19488.031250,662848.984375,505504.672852,30530.121094
6,33554432,409,12,1220303.870117,19369.029297,664985.449219,505438.547852,30486.273438
7,33554432,409,12,1223650.665039,19454.127930,668375.818359,505301.945312,30496.946289
8,33554432,409,12,1221948.598633,19366.809570,667105.851562,504974.099609,30479.853516
