sid,arrsize,bsize,nthreads,total,draw,scatter,sort,gather
0,33554432,500,6,1848805.359375,43178.378906,705497.168945,1039003.313477,61005.250977
1,33554432,500,6,2241283.184570,37988.340820,1104417.644531,1038067.911133,60796.061523
2,33554432,500,6,2208306.406250,38135.635742,1071252.239258,1038212.540039,60692.660156
3,33554432,500,6,2210004.536133,37880.673828,1073107.051758,1038252.963867,60748.649414
4,33554432,500,6,2220218.387695,38053.433594,1083734.887695,1037817.493164,60599.121094
5,33554432,500,6,2213739.858398,38247.843750,1076036.229492,1038788.142578,60653.354492
6,33554432,500,6,2208125.884766,38146.725586,1071572.854492,1037658.534180,60733.599609
7,33554432,500,6,2209577.417969,38080.265625,1072105.013672,1038685.136719,60693.801758
8,33554432,500,6,2218763.090820,38132.159180,1081795.279297,1038172.213867,60649.549805
9,33554432,500,6,2208993.412109,37994.875977,1072704.845703,1037614.945312,60666.014648
0,33554432,500,7,2041520.702148,36966.887695,1062810.383789,890043.464844,51519.255859
1,33554432,500,7,2002904.956055,33253.636719,1028606.573242,889446.950195,51582.729492
2,33554432,500,7,2004541.415039,33057.024414,1030094.975586,889844.187500,51529.606445
3,33554432,500,7,2003323.454102,33026.922852,1028752.917969,889951.675781,51575.212891
4,33554432,500,7,2004676.006836,33070.263672,1030116.989258,889899.131836,51574.380859
5,33554432,500,7,1982150.566406,33045.763672,1007787.804688,889727.940430,51573.497070
6,33554432,500,7,1981498.152344,33011.884766,1006981.742188,890022.832031,51465.800781
7,33554432,500,7,1979802.621094,33107.193359,1005143.004883,890127.371094,51407.901367
8,33554432,500,7,1978699.108398,33190.334961,1004603.091797,889380.603516,51508.407227
9,33554432,500,7,1984721.333008,33173.817383,1010125.722656,889881.755859,51524.317383
0,33554432,500,8,1781399.280273,33068.158203,924486.999023,778533.959961,45124.365234
1,33554432,500,8,1746436.239258,29020.760742,893395.013672,778892.889648,45110.932617
2,33554432,500,8,1746589.785156,29032.520508,893506.592773,778977.053711,45056.998047
3,33554432,500,8,1731478.482422,28967.565430,878948.466797,778511.802734,45034.037109
