b;t
2280000;5103.93148156
2290000;6515.06386758
2300000;5381.9064907
2310000;4969.35377987
2320000;5476.25136667
2330000;5110.09030099
2340000;6630.63931388
2350000;5827.79019253
2360000;6581.10760806
2370000;5530.08493176
2380000;5846.98245822
2390000;6528.81850212
2400000;5555.27372941
2410000;5592.11528586
2420000;5108.23152882
2430000;5698.61931124
2440000;5285.44175078
2450000;5363.45512314
2460000;5734.90370278
2470000;5855.34261472
2480000;5407.69687001
2490000;6018.84059216
2500000;5672.38597559
2510000;5724.39716029
2520000;6490.89020553
2530000;6704.21208458
2540000;5270.03090355
2550000;5973.24874167
2560000;5292.38303344
2570000;5880.31982543
2580000;5686.72488201
2590000;5895.62802978
2600000;5638.1247423
2610000;5519.36016134
2620000;5661.64523772
2630000;6202.53772803
2640000;5690.11436793
2650000;5619.44227257
2660000;6035.8268213
2670000;6418.56522711
2680000;5997.95753014
2690000;6097.61173296
2700000;5618.76497147
2710000;5393.94721991
2720000;6389.53059647
2730000;5358.42408622
2740000;5450.4257217
2750000;6486.79704745
2760000;5982.09009738
2770000;5870.84666193
2780000;5357.60846361
2790000;5868.75203536
2800000;7178.78965425
2810000;5958.3528023
2820000;6009.17653066
2830000;5866.55809224
2840000;6188.06064254
2850000;7063.17788652
2860000;5944.72375147
2870000;5565.41854769
2880000;6172.11242
2890000;6152.87005362
2900000;6131.65631469
2910000;6433.64282269
2920000;7140.80179579
2930000;5768.61384498
2940000;6150.25125187
2950000;6201.8122206
2960000;6167.00260598
2970000;6001.60572358
2980000;5807.7601998
2990000;5749.60610218
3000000;6107.37587405
3010000;6222.78058717
3020000;6097.41021045
3030000;6148.39918723
3040000;6991.8243419
3050000;6573.70080773
3060000;6303.1392084
3070000;5518.33324351
3080000;6287.78769853
3090000;6186.3481432
3100000;6254.41498384
3110000;6307.20499962
3120000;6338.97929732
3130000;6188.88462935
3140000;6323.14092692
3150000;6457.60478991
3160000;6291.11382114
3170000;5966.40346875
3180000;6232.02031101
3190000;6109.07544154
3200000;6272.86406403
3210000;6239.79183571
3220000;6043.47639781
3230000;6154.678745
3240000;5947.52846424
3250000;7064.62711457
3260000;6152.96705591
3270000;6060.87180048
3280000;5984.6134207
3290000;6197.99740501
3300000;7226.11114537
3310000;6061.93021518
3320000;6224.98158725
3330000;6175.57700026
3340000;6651.54032168
3350000;6697.69094917
3360000;5973.60804938
3370000;6103.02839394
3380000;6606.79998019
3390000;6576.06732071
3400000;5968.50918413
3410000;5974.10884181
3420000;6119.59404551
3430000;5909.25996765
3440000;6015.7522387
3450000;6500.1496638
3460000;7378.46706938
3470000;6726.97686339
3480000;6133.33105864
3490000;5894.81734543
3500000;6145.0180258
3510000;7369.98569006
3520000;6684.67941819
3530000;6078.42069946
3540000;6108.099774
3550000;7026.58803126
3560000;6744.03827354
3570000;6195.62555225
3580000;6827.0220545
3590000;6853.59548058
3600000;6993.11531514
3610000;6807.14814875
3620000;6161.22668763
3630000;6833.53230346
3640000;6269.03966227
3650000;6713.00145525
3660000;7307.89771616
3670000;6200.25252388
3680000;6161.76897217
3690000;6633.67331896
3700000;6188.54015901
3710000;6100.58158705
3720000;6837.80862734
3730000;6759.72678522
3740000;6485.958895
3750000;6215.62537048
3760000;6127.91919372
3770000;6734.01784059
3780000;6598.72552305
3790000;6557.2495246
3800000;7746.81966675
3810000;6915.63269068
3820000;6996.13455632
3830000;7604.46009911
3840000;6381.58656216
3850000;6555.01329173
3860000;7031.11163998
3870000;7280.74076084
3880000;6314.21381801
3890000;7035.15457892
3900000;6729.52199938
3910000;6234.97150352
3920000;7479.86200967
3930000;6377.95087288
3940000;6417.38081064
3950000;6726.21194621
3960000;7349.92121692
3970000;6858.9498772
3980000;6642.54165608
3990000;6605.75718169
4000000;6510.91977637
4010000;7537.47061522
4020000;7008.03037446
4030000;6555.22025159
4040000;6135.04278059
4050000;6377.89717584
4060000;7421.90893178
4070000;6615.3138074
4080000;6187.45500424
4090000;6106.30271215
4100000;9104.47511333
4110000;6361.54325807
4120000;7020.6825372
4130000;6754.5538547
4140000;7210.76296289
4150000;6834.48350532
4160000;6899.29009095
4170000;6300.02505386
4180000;6485.29734868
4190000;7396.22910923
4200000;7439.22162162
4210000;6639.44533734
4220000;7148.61182553
4230000;7107.1565845
4240000;6748.36849388
4250000;6451.53470486
4260000;6261.41663323
4270000;6961.97398639
4280000;6306.83628123
4290000;6867.85449636
4300000;6959.90533869
4310000;7048.85529726
4320000;6985.621852
4330000;6340.90277721
4340000;6659.8632541
4350000;7057.60119914
4360000;6755.35398241
4370000;6647.37883334
4380000;6815.05719433
4390000;6429.39882502
4400000;6927.36660645
4410000;7122.66014224
4420000;6711.34192094
4430000;6780.06448458
4440000;7011.39742005
4450000;6768.83983771
4460000;8241.69879502
4470000;6577.78557116
4480000;8283.78940361
4490000;6957.17665139
4500000;7069.29990519
4510000;7021.4818847
4520000;6436.7547009
4530000;8246.83704311
4540000;7046.28327575
4550000;6426.56391303
4560000;7010.12335414
4570000;6872.39520638
4580000;7007.64006612
4590000;7231.25304035
4600000;7170.6664127
4610000;8179.35577194
4620000;6985.54534185
4630000;6810.46928786
4640000;7387.54754353
4650000;7395.04757571
4660000;7003.73573654
4670000;6807.38509232
4680000;6717.63274057
4690000;6961.43882509
4700000;6876.50782245
4710000;7197.11164989
4720000;7139.48222375
4730000;6927.95247981
4740000;7286.25456078
4750000;7107.72172672
4760000;7953.346097
